source,reporter_id,reporter_name,canonical_name,confidence_tier,article_count,strategy_id,source_verified_shortfall,command_template
Bloomberg,11225,Charlie Zhu,Charlie Zhu,likely,38,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,4855,Jennifer A Dlouhy,Jennifer A Dlouhy,likely,18,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,4920,Donato Paolo Mancini,Donato Paolo Mancini,likely,16,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,5048,Prejula Prem,Prejula Prem,likely,16,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,6540,Yihui Xie,Yihui Xie,likely,16,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,10124,Mia Gindis,Mia Gindis,likely,15,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,8674,Grant Smith,Grant Smith,likely,14,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,9340,Josh Wingrove,Josh Wingrove,likely,14,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,6484,Rachel Metz,Rachel Metz,likely,14,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,8950,Andrea Palasciano,Andrea Palasciano,likely,13,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,4309,Courtney Subramanian,Courtney Subramanian,likely,13,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,3738,Fiona MacDonald,Fiona MacDonald,likely,13,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,6403,Ian King,Ian King,likely,13,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,3599,Mark Schroers,Mark Schroers,likely,13,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,4296,Rebecca Torrence,Rebecca Torrence,likely,13,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,3595,Rita Nazareth,Rita Nazareth,likely,13,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,9379,Yvonne Yue Li,Yvonne Yue Li,likely,13,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,3573,Anthony Halpin,Anthony Halpin,likely,12,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,12237,Dinesh Nair,Dinesh Nair,likely,12,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,8686,Jorge Valero,Jorge Valero,likely,12,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,6285,Michael MacKenzie,Michael MacKenzie,likely,12,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
Bloomberg,5850,Nancy Cook,Nancy Cook,likely,12,blocked_cloudflare_manual,720,uv run python backend/scripts/enrich_local_reporter_author_pages.py --source 'Bloomberg' --target-promotions 720 --max-articles-per-reporter 3 --limit-reporters 1440 # review access_barriers before any --apply run
